anything,anythang
boss,bawss
campaign,kampaign
candidate,kandidate
coffee,kawfee
computer,komputer
consider,konsider
control,kontrol
cool,koo
coolest,koolest
counter,kounter
create,kreate
created,kreated
damn,dayum
daughter,dawtah
days,dayz
dinner,dinna
do,due
doctor,doktor
ever,eva
first,phirst
food,fewd
good,gewd
government,guverment
here,hear
his,hiz
history,histery
however,howeva
like,lyke
likes,lykes
look,lewk
love,luv
master,masta
more,moar
my,mai
myself,meself
night,knight
notion,knowshun
people,peeps
real,reel
remember,rememba
right,rite
said,sed
saying,sayin
school,skoo
see,sea
some,sum
son,sun
sun,son
super,souper
sure,shur
that,dat
the,da
this,dis
time,tyme
times,tymes
to,two
today,twoday
tonight,twoknight
too,two
two,too
was,wuz
were,wuz
what,wut
word,werd
words,werds
work,werk
world,werld
would,wud
wrote,rote
your,yo
